ACCOUNT_NAME,USAGE_CREDITS,USAGE_AMOUNT
ACCENTURE_AWS_US_WEST_2,3124.772494,8474.317498
ACCENTUREPARTNERORG_EUROPE_TTT,1364.664723,4932.192421
ACCENTUREPARTNERORG_NA_TTT,678.293058,2334.879164
ACCENTUREPARTNERORG_T3,5540.517782,10321.55334
ACCSMARTDATAM,112.551942,46.442192
ACN_INDIA_ENT,111.056664,40.909664
ACN_RETAIL,109.431389,36.782418
ACN_SECURITY,8342.666672,18728
ACNGOVERN,153.159443,159.478332
AIPACCENTUREPOC,1330.363889,4921.45556
AIPAZURE,102.486666,12.433333
AIPGCP,1002.149167,0.596667
COE_AWS_USEAST1,115.609721,46.829168
DCR,114.895556,59.582223
DCR_CUST_A,102.021389,6.064167
DCR_CUST_B_PROV_B,365.751111,1063.004444
IDF_AWS,3984.928615,896.785834
IDF_AZURE,100.016667,0.05
LAB_DATAOPS_AWS_EASTUS1,102.244722,6.734167
POC_AWS_US_EAST1,101.166389,3.499167
POC_CONSUMER_AWS_USEAST1,100.660556,1.981666
SOL_AIRETAIL_AZURE_EASTUS2,202.303884,306.911667
SOL_AWS_AP_NORTHEAST1,100.350833,1.508583
SOL_AWS_US_EAST1,103.501944,10.505833
SOL_IRG_AWS_USEAST1,100.05,0.15
SOL_OSI_AWS,1220.11528,66.345833
SOL_SDV_AWS_USEAST1,100.05,0.15
SOL_SDV_AZURE_EASTUS2,100.033333,0.1
SOL_SDV_GCP_USCENT1,100.05,0.15
